tsa.GAEA.mstr.gbff	SRR527288	69539	Trinity v. trinityrnaseq_r2011-10-29	Camelus dromedarius; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GAEB.mstr.gbff	SRR527292	45346	Trinity v. trinityrnaseq_r2011-10-29	Camelus dromedarius; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GAEC.mstr.gbff	SRR449527,SRR449528,SRR495264,SRR495268,SRR495269	118836	Trinity 04-27-2012	Anolis carolinensis; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Lepidosauria; Squamata; Iguania; Iguanidae; Polychrotinae; Anolis.
tsa.GAED.mstr.gbff	SRR391650,SRR391652,SRR391658	74717	Trinity 04-27-2012	Anolis carolinensis; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Lepidosauria; Squamata; Iguania; Iguanidae; Polychrotinae; Anolis.
tsa.GAEJ.mstr.gbff	SRR544888	32924	abyss v. 2011	Drosophila pseudoananassae pseudoananassae; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Diptera; Brachycera;Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora.
tsa.GAER.mstr.gbff	SRR647076,SRR647079,SRR647080,SRR647081	59189	Trinity 2011_04_24	Arachis hypogaea; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons;rosids; fabids; Fabales; Fabaceae; Papilionoideae; Dalbergieae;Arachis.; 
tsa.GAES.mstr.gbff	SRR527309	51013	Trinity v. Trinityrnaseq_r2011-10-29	Camelus bactrianus; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GAET.mstr.gbff	SRR527310	30254	Trinity v. Trinityrnaseq_r2011-10-29	Camelus bactrianus; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GAEU.mstr.gbff	SRR527311	37212	Trinity v. Trinityrnaseq_r2011-10-29	Camelus bactrianus; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GAEV.mstr.gbff	SRR527312	35036	Trinity v. Trinityrnaseq_r2011-10-29	Camelus bactrianus; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GAEW.mstr.gbff	SRR527313	16386	Trinity v. Trinityrnaseq_r2011-10-29	Camelus bactrianus; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GAEX.mstr.gbff	SRR527314	41996	Trinity v. Trinityrnaseq_r2011-10-29	Camelus bactrianus; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GAEY.mstr.gbff	SRR527315	19093	Trinity v. Trinityrnaseq_r2011-10-29	Camelus bactrianus; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GAEZ.mstr.gbff	SRR527317	35320	Trinity v. Trinityrnaseq_r2011-10-29	Camelus bactrianus; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GAFA.mstr.gbff	SRR527316	41036	Trinity v. Trinityrnaseq_r2011-10-29	Camelus bactrianus; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
